directory,filename,file_ext,size_bytes,size_kib,size_kb,size_mib,size_mb,rel_path,full_path
Herbarium Sheets,4000-1-10536_1.jpg,jpg,74835,73.1,75,0.1,0,Herbarium Sheets/4000-1-10536_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11007_1.jpg,jpg,83565,81.6,84,0.1,0,Herbarium Sheets/4000-1-11007_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11042_1.jpg,jpg,96414,94.2,96,0.1,0,Herbarium Sheets/4000-1-11042_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6848_1.jpg,jpg,78619,76.8,79,0.1,0,Herbarium Sheets/4000-1-6848_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10844_1.jpg,jpg,79127,77.3,79,0.1,0,Herbarium Sheets/4000-1-10844_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10042_1.jpg,jpg,101918,99.5,102,0.1,0,Herbarium Sheets/4000-1-10042_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10801_1.jpg,jpg,78290,76.5,78,0.1,0,Herbarium Sheets/4000-1-10801_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10557_1.jpg,jpg,65328,63.8,65,0.1,0,Herbarium Sheets/4000-1-10557_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10512_1.jpg,jpg,79384,77.5,79,0.1,0,Herbarium Sheets/4000-1-10512_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10656_1.jpg,jpg,100840,98.5,101,0.1,0,Herbarium Sheets/4000-1-10656_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10613_1.jpg,jpg,55303,54,55,0.1,0,Herbarium Sheets/4000-1-10613_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-7132_1.jpg,jpg,52066,50.8,52,0,0,Herbarium Sheets/4000-1-7132_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11023_1.jpg,jpg,58074,56.7,58,0.1,0,Herbarium Sheets/4000-1-11023_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6829_1.jpg,jpg,78490,76.7,78,0.1,0,Herbarium Sheets/4000-1-6829_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11066_1.jpg,jpg,82376,80.4,82,0.1,0,Herbarium Sheets/4000-1-11066_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10846_2.jpg,jpg,92513,90.3,93,0.1,0,Herbarium Sheets/4000-1-10846_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10860_1.jpg,jpg,106173,103.7,106,0.1,0,Herbarium Sheets/4000-1-10860_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10066_1.jpg,jpg,54283,53,54,0.1,0,Herbarium Sheets/4000-1-10066_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10825_1.jpg,jpg,79693,77.8,80,0.1,0,Herbarium Sheets/4000-1-10825_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-7097_1.jpg,jpg,84476,82.5,84,0.1,0,Herbarium Sheets/4000-1-7097_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6851_1.jpg,jpg,63743,62.2,64,0.1,0,Herbarium Sheets/4000-1-6851_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10818_1.jpg,jpg,76993,75.2,77,0.1,0,Herbarium Sheets/4000-1-10818_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6832_2.jpg,jpg,105210,102.7,105,0.1,0,Herbarium Sheets/4000-1-6832_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11038_2.jpg,jpg,110919,108.3,111,0.1,0,Herbarium Sheets/4000-1-11038_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6877_2.jpg,jpg,106378,103.9,106,0.1,0,Herbarium Sheets/4000-1-6877_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10608_2.jpg,jpg,101190,98.8,101,0.1,0,Herbarium Sheets/4000-1-10608_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10597_1.jpg,jpg,103585,101.2,104,0.1,0,Herbarium Sheets/4000-1-10597_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-7129_2.jpg,jpg,36315,35.5,36,0,0,Herbarium Sheets/4000-1-7129_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10696_1.jpg,jpg,59471,58.1,59,0.1,0,Herbarium Sheets/4000-1-10696_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-7093_1.jpg,jpg,38569,37.7,39,0,0,Herbarium Sheets/4000-1-7093_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10899_1.jpg,jpg,71873,70.2,72,0.1,0,Herbarium Sheets/4000-1-10899_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11027_1.jpg,jpg,38798,37.9,39,0,0,Herbarium Sheets/4000-1-11027_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-11062_1.jpg,jpg,76041,74.3,76,0.1,0,Herbarium Sheets/4000-1-11062_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6868_1.jpg,jpg,69326,67.7,69,0.1,0,Herbarium Sheets/4000-1-6868_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10864_1.jpg,jpg,63332,61.8,63,0.1,0,Herbarium Sheets/4000-1-10864_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10062_1.jpg,jpg,74465,72.7,74,0.1,0,Herbarium Sheets/4000-1-10062_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10821_1.jpg,jpg,63681,62.2,64,0.1,0,Herbarium Sheets/4000-1-10821_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10652_1.jpg,jpg,67937,66.3,68,0.1,0,Herbarium Sheets/4000-1-10652_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10617_1.jpg,jpg,86519,84.5,87,0.1,0,Herbarium Sheets/4000-1-10617_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-7136_1.jpg,jpg,42335,41.3,42,0,0,Herbarium Sheets/4000-1-7136_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10588_2.jpg,jpg,80078,78.2,80,0.1,0,Herbarium Sheets/4000-1-10588_2.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10553_1.jpg,jpg,92630,90.5,93,0.1,0,Herbarium Sheets/4000-1-10553_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10516_1.jpg,jpg,85894,83.9,86,0.1,0,Herbarium Sheets/4000-1-10516_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10692_1.jpg,jpg,64420,62.9,64,0.1,0,Herbarium Sheets/4000-1-10692_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-10593_1.jpg,jpg,75764,74,76,0.1,0,Herbarium Sheets/4000-1-10593_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
Herbarium Sheets,4000-1-6855_1.jpg,jpg,62603,61.1,63,0.1,0,Herbarium Sheets/4000-1-6855_1.jpg,/Users/jajohnst/Documents/teaching/2025-4-SI-676-NetworkedLAMS/ummaa_project_data_samples/Herbarium Sheets
