Object identifier, Divisions                   , Accession Number         , Accession Description                           , Quantity    , Type        , Other Numbers                                    , Object Type           , Materials                    , Verbatim Geography                                 , Geographic Location  , Political Location          , Culture , Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Curatorial Notes
17575            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo 5747
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Fiber                        , Asia-Southeast Asia-Philippines-Mindoro Occidental-, Mt. Halcon Baco River,                             , Mangyan , Carrying basket of dukmoy nito rattan. Used for fruits and Vegetables.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 
17576            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5766
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Reed; Coconut                , Asia-Southeast Asia-Philippines-Cebu-              ,                      ,                             ,         , "One work basket with coconut midrib. Woven reed round with greater diameter at opening than base. Knotted bands at rim and articulation of base/walls."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 
17577            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5772
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan                       , Asia-Southeast Asia-Philippines-Sorsogon-          ,                      ,                             , Filipino, Fish basket of rattan with cordage carrying strap. Original number Coo5772.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
17578            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5785
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Shell basket of bamboo and rattan. This basket is woven of very dark organic material. It has a rectangular base and cylindrical body. A series of loops around the opening of the basket form handles and a hinge by which a lid of the same make is attached.                                                                                                                                                                                                                                                                                                                                                                   , 
17579            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5799
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo                       , Asia-Southeast Asia-Philippines-Nueva Vizcaya-     ,                      , Dupax                       ,         , 1 rice basket of bamboo and rattan. This basket has a rectangular base of rigid material that is tied to the main part of the basket. At the top the basket opening is round and ringed with a piece of bamboo to help hold its shape.                                                                                                                                                                                                                                                                                                                                                                                            , 
17580            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5809
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan; Fiber                , Asia-Southeast Asia-Philippines-Leyte-             ,                      , San Miguel                  ,         , "1 utility basket of banban rattan nito-abaca. Used for thread eggs medicines. Round basket with handle and lid attached by fiber cordage hinge."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 
17582            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5819
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan; Bamboo               , Asia-Southeast Asia-Philippines-Ilocos Norte-      ,                      , Laoag                       ,         , One telescoping traveling basket made of bamboo and rattan. This basket is carried under the arm by a rope strap that also serves to hold together the lid and the base. The overall shape is a rectangular base that woven up into an oblong solid with a rectangular top. The lid is as tall as the base allowing the basket to expand in height as it is filled. The color is natural with narrow diagonal stripes woven into the body of the lid.                                                                                                                                                                             , 
17583            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5847
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan                       , Asia-southeast Asia-Philippines-Isabela-           ,                      , Cabagan                     ,         , Corn measure of rattan. Used for both measuring and handling. Small rounded woven basket.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , 
17584            , Asian Archaeology           , Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Artifact    , "Other Number: Coo 5850
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo; Rattan               , Asia-Southeast Asia-Philippines-Isabela-           ,                      , Cabagan                     ,         , "Buyo basket-bamboo rattan dappig Used by Ifudgaos"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 
17585            , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo5850
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan; Bamboo; Fiber        , Asia-Southeast Asia-Philippines-Isabela-           , Luzon                , Cabagan                     , Ifugao  , "One Buyo basket of bamboo rattan and dappig. Used by the Ifugaos. Tall basket with round opening and square bottom changes shape halfway. Upper section has tight weave (rattan) and lower was looe weave. The rim is made of rattan wrapped bamboo. A cord of braided fiber is attached at two points on opposite sides and hangs in the middle. Tag says: ""Obtained at batangas. It has been used. One is put on each end of a pole and carried on the shoulders."" fiber cord was probably used for hanging on pole."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , 
