Object identifier, Divisions                   , Accession Number         , Accession Description                           , Quantity    , Type        , Other Numbers                                    , Object Type           , Materials                    , Verbatim Geography                                 , Geographic Location  , Political Location          , Culture , Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Curatorial Notes
17606-a          , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6139 E-103
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Bamboo; Rattan               , Asia-Southeast Asia-Philippines-La Union-          ,                      , San Fernando - Union        ,         , "One clothes basket of bamboo and rattan. A tag on the lid reads ""the government of the Philippine Islands. Bureau of Education. Industrial Exhibit. English - suit case. Dialect - Tampipi. Bamboo and rattan. No. E-105. Price $.40 Obtained at San Fernando."" Box - deep rectangular box made of interwoven rattan in zigzag pattern. Top bottom and middle of sides are reinforced with bamboo. Each corner also has a reinforcement of a 1/2 (cut vertically) tube of bamboo. The cut is not complete leaving a 5 cm section of whole bamboo that serves as a leg. Some string tags and rattan inside."                                                                                                                                                                                                                                                                                       , 
17607-a          , Ethnology & Material Culture, Accession Number: 1387   , Accession #1387 Donation 04/29/1941 (1387)      , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: Coo6168
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan; Bamboo; Cotton       , Asia-Southeast Asia-Philippines-Sorsogon-          ,                      , Bulan                       ,         , "Basket. Round topped basket with square base. Woven rattan fiber with bamboo around the rim. Two small rattan handles. Cotton string hangs inside from one end to other. Attached card reads: ""Basket has been used for one year. It is used by all classes for holding various articles."""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , 
1989-74-22       , Ethnology & Material Culture, Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: 10
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan; Needles; Grass; Fiber, Asia-Southeast Asia-Philippines--                  , Northern Luzon       , Benguet and Bontoc Provinces, Igorot  , This head basket is composed of 2 small pouches to which rows of grasses and needles have been attached at the back. The main part of the basket consists of a long pouch of finely woven rattan. This pouch is rectangular. At the top of the pouch a V-shaped slit is left open. The sides and bottom of the front pouch are made out of plant fiber netting.                                                                                                                                                                                                                                                                   , 
1989-74-23       , Ethnology & Material Culture, Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: 11
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan; Wood; Needles        , Asia-Southeast Asia-Philippines--                  , Northern Luzon       , Benguet and Bontoc Provinces, Igorot  , This is a basket of finely woven rattan. At the top a flap is attached to one side of the basket and extends over the opening. The top of the basket is shaped on both sides like the top half of a hexagon. Two long braided cords of rattan are attached to the opening to be used as possible shoulder straps. The flap over the front is thatched with rows of loose fiber (needles?). The base of the basket is a rectangular wooden frame.                                                                                                                                                                                  , Removed from description on 6/6/2019 by J Moss Used as a head hunter's basket.
1989-74-25       , Ethnology & Material Culture, Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: 13
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Rattan; Wood; Leaf           , Asia-Southeast Asia-Philippines--                  , Northern Luzon       , Benguet and Bontoc Provinces, Igorot  , Child's comote. This small woven basket is circular at the top but funnels down to a square-shaped base. 4 strips of rattan form the corners of the bottom of the basket and extend out beyond this bottom. 4 rectangular pieces of wood covered by a strip of palm leaf have been applied to base. A woven rattan handle is attached at opposite ends by a fiber braid.                                                                                                                                                                                                                                                          , 
1989-74-26-a     , Ethnology & Material Culture, Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic, "Other Number: 14
                                                                                                                                                          Number Type: original numbers"                   , Basket                , Balsa                        , Asia-Southeast Asia-Philippines--                  , Northern Luzon       , Benguet and Bontoc Provinces, Igorot  , This bulb-shaped undecorated basket is made of finely woven rattan. The basket has a rim to place the cover on and a base. The basket flares out to its widest diameter about 10 cm down from the top of the rim. The basket's diameter then sharply decreases.                                                                                                                                                                                                                                                                                                                                                                   , 
1989-74-79       , Ethnology & Material Culture, Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Rattan                       , Asia-Southeast Asia-Philippines--                  , Northern Luzon       , Benguet and Bontoc Provinces, Igorot  , This is a cone-shaped basket made of woven rattan. The large round end is open so that things could be put in it. Three dark brown bands of three rows each of rattan have been woven around the basket at irregular intervals to provide decoration.                                                                                                                                                                                                                                                                                                                                                                             , 
8126-a           , Ethnology & Material Culture, Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Botanical                    , Asia-Southeast Asia-Philippines-Lanao del Sur-     , Mindanao             , Malalbang                   ,         , Woven basketry hamper. Used as a container for food and clothing. Round with a very open weave. 8126a is the base 8126b is a lid.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 
8126-b           , Ethnology & Material Culture, Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Botanical                    , Asia-Southeast Asia-Philippines-Lanao del Sur-     , Mindanao             , Malabang                    ,         , Woven basketry hamper. Used as a container for food and clothing. Round with a very open weave. 8126a is the base 8126b is a lid.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 
8127-a           , Ethnology & Material Culture, Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Reed                         , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Lid to one covered basket from the Philippines. The basket is made of reed in natural and black colors the latter of which is produced by rice straw smoke. The basket is rectangular with a short height and is woven with bicolor geometric designs.                                                                                                                                                                                                                                                                                                                                                                            , 
8127-b           , Ethnology & Material Culture, Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Reed                         , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Base to one covered basket from the Philippines. The basket is made of reed in natural and black colors the latter of which is produced by rice straw smoke. The basket is rectangular with a short height and is woven with bicolor geometric designs.                                                                                                                                                                                                                                                                                                                                                                           , 
8128-a           , Ethnology & Material Culture, Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Grass                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Bottom part of covered basket of woven grass alternating light and dark colors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 
8128-b           , Ethnology & Material Culture, Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Grass                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Top part of covered basket of woven grass alternating light and dark colors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , 
8418-b           , Ethnology & Material Culture, Accession Number: 220    , Accession #220 UMMAA Expedition 08/31/1925 (220), "Quantity: 1
                                                                                                                              Unit: ea"   , Ethnographic,                                                  , Basket                , Fiber                        , Asia-Southeast Asia-Philippines--                  ,                      ,                             ,         , Woven basket. Fits with 8418c.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 
