dcterms:identifier       , dcterms:isPartOf, dcterms:identifier       , dcterms:provenance                              , dcterms:extent        , dcterms:isPartOf, dcterms:alternative                                   , dcterms:type          , dcterms:medium               , dcterms:temporal, dcterms:provenance                              , dcterms:spatial             , dcterms:spatial             , dcterms:spatial             , dcterms:subject, dcterms:description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , dcterms:description
Accession Number: 1989-74, Ethnographic    , Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: 10  Number Type: original numbers"                        , Basket                , Rattan; Needles; Grass; Fiber,                 , Accession #1989-74 Donation 12/07/1989 (1989-74), Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Igorot         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1989-74, Ethnographic    , Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: 11  Number Type: original numbers"                        , Basket                , Rattan; Wood; Needles        ,                 , Accession #1989-74 Donation 12/07/1989 (1989-74), Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Igorot         , Removed from description on 6/6/2019 by J Moss Used as a head hunter's basket.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , Removed from description on 6/6/2019 by J Moss Used as a head hunter's basket.
Accession Number: 1989-74, Ethnographic    , Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: 13  Number Type: original numbers"                        , Basket                , Rattan; Wood; Leaf           ,                 , Accession #1989-74 Donation 12/07/1989 (1989-74), Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Igorot         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1989-74, Ethnographic    , Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1 Unit: ea", Ethnographic    , "Other Number: 14 Number Type: original numbers"                        , Basket                , Balsa                        ,                 , Accession #1989-74 Donation 12/07/1989 (1989-74), Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Igorot         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 1989-74, Ethnographic    , Accession Number: 1989-74, Accession #1989-74 Donation 12/07/1989 (1989-74), "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Rattan                       ,                 , Accession #1989-74 Donation 12/07/1989 (1989-74), Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Benguet and Bontoc Provinces, Igorot         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 278    , Ethnographic    , Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Botanical                    ,                 , Accession #278 Purchase 04/20/1926 (278)        , Malalbang                   , Malalbang                   , Malalbang                   ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 278    , Ethnographic    , Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Botanical                    ,                 , Accession #278 Purchase 04/20/1926 (278)        , Malabang                    , Malabang                    , Malabang                    ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 278    , Ethnographic    , Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Reed                         ,                 , Accession #278 Purchase 04/20/1926 (278)        ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 278    , Ethnographic    , Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Reed                         ,                 , Accession #278 Purchase 04/20/1926 (278)        ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 278    , Ethnographic    , Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Grass                        ,                 , Accession #278 Purchase 04/20/1926 (278)        ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 278    , Ethnographic    , Accession Number: 278    , Accession #278 Purchase 04/20/1926 (278)        , "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Grass                        ,                 , Accession #278 Purchase 04/20/1926 (278)        ,                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
Accession Number: 220    , Ethnographic    , Accession Number: 220    , Accession #220 UMMAA Expedition 08/31/1925 (220), "Quantity: 1 Unit: ea", Ethnographic    ,                                                       , Basket                , Fiber                        ,                 , Accession #220 UMMAA Expedition 08/31/1925 (220),                             ,                             ,                             ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 
